Transactional Type,Education Level,Region, Age (6-11),Age(12-15),Age(15-19),Age(20-24),Age(25-29),Age(30-34),Age(35-39),Age(40-44),Age(45-49),Age(50-54),Age(55-59),Age(60-64),Age(65-69),Age(70-74),Age(75-79),Age(80-84),Age(85-89)
Used Mobile Phone,No Formal Education,Western,301,229,2536,8937,13534,16570,17376,15200,13339,10249,7150,5477,3246,2337,1496,909,440
Used Mobile Phone,No Formal Education,Central,252,213,2084,6952,11411,15495,19804,19863,19753,17082,13020,11445,7534,6100,4114,2832,1270
Used Mobile Phone,No Formal Education,Greater Accra,445,364,4018,15255,25569,33860,36352,32620,28046,21661,14926,12322,7520,5673,3563,2193,1087
Used Mobile Phone,No Formal Education,Volta,141,95,959,3489,5607,8171,9604,9610,9850,9324,7316,6519,4366,3731,2864,2481,1392
Used Mobile Phone,No Formal Education,Eastern,281,185,1936,6001,9783,13676,16946,16817,16153,14330,11064,9525,6453,5611,3724,2982,1760
Used Mobile Phone,No Formal Education,Ashanti,338,352,4548,16010,26259,34720,39547,37557,34537,28759,20313,16912,10836,10086,6621,4726,2494
Used Mobile Phone,No Formal Education,Western North,103,77,1420,4716,6937,9324,10348,9501,7860,6546,4214,3191,1619,1143,712,425,207
Used Mobile Phone,No Formal Education,Ahafo,112,58,622,2224,3327,4670,5256,4833,4374,3755,2650,2048,1252,1120,755,538,335
Used Mobile Phone,No Formal Education,Bono,190,144,1504,4766,6610,8714,9734,9630,8754,7958,6276,5329,3230,2553,1724,1348,920
Used Mobile Phone,No Formal Education,Bono East,422,334,3041,8407,11136,13709,14124,12747,10765,8706,5900,4618,2679,2001,1520,1204,731
Used Mobile Phone,No Formal Education,Oti,501,355,1866,4631,6138,7592,7632,7099,5639,4566,3171,2510,1506,1199,845,670,386
Used Mobile Phone,No Formal Education,Northern,2336,1407,8440,23856,31737,38035,32657,32165,22284,18007,9681,9918,5315,4991,3377,2464,840
Used Mobile Phone,No Formal Education,Savannah,1013,595,3061,7458,8871,10272,8224,7494,5131,4035,2343,2160,1178,1019,677,485,175
Used Mobile Phone,No Formal Education,North East,1039,739,3818,7927,9278,10991,9240,8488,5932,4771,2798,2577,1423,1334,1007,680,344
Used Mobile Phone,No Formal Education,Upper East,789,714,4575,11337,15744,20356,20875,20738,17206,14506,9628,8236,4892,4445,3786,2942,1491
Used Mobile Phone,No Formal Education,Upper West,538,423,2787,7358,9726,11729,11312,10624,8444,6925,4648,3946,2267,1734,1139,821,508
Used Mobile Phone,Nursery / Pre-School,Western,0,0,3,21,29,39,20,14,20,12,5,3,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Central,0,1,1,14,19,23,35,29,35,17,16,1,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Greater Accra,2,0,4,27,45,77,62,53,54,34,27,4,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Volta,0,0,0,8,7,12,10,16,9,11,15,2,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Eastern,2,1,2,12,14,23,23,31,20,16,20,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Ashanti,1,0,2,13,42,46,53,57,37,32,17,6,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Western North,0,1,1,5,6,12,10,5,6,10,3,3,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Ahafo,1,0,1,3,7,2,7,3,3,4,2,1,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Bono,0,0,0,1,4,6,9,3,5,2,3,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Bono East,0,0,3,10,4,14,8,11,5,4,4,1,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Oti,1,0,2,2,5,4,3,2,6,6,3,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Northern,3,1,12,25,25,44,16,13,6,7,4,1,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Savannah,3,0,1,4,11,11,7,3,9,4,2,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,North East,1,1,6,7,6,5,5,3,2,2,0,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Upper East,0,2,3,6,22,12,9,9,3,6,2,0,0,0,0,0,0
Used Mobile Phone,Nursery / Pre-School,Upper West,0,0,0,9,15,7,7,7,4,4,0,1,0,0,0,0,0
Used Mobile Phone,Kindergarten,Western,803,0,10,26,47,49,27,34,22,15,9,2,0,0,0,0,0
Used Mobile Phone,Kindergarten,Central,1338,4,14,38,58,77,102,58,72,36,35,8,0,0,0,0,0
Used Mobile Phone,Kindergarten,Greater Accra,1951,4,15,54,76,103,106,98,85,51,27,7,0,0,0,0,0
Used Mobile Phone,Kindergarten,Volta,500,1,9,23,43,40,47,47,57,45,39,10,0,0,0,0,0
Used Mobile Phone,Kindergarten,Eastern,1013,2,8,53,52,72,71,75,44,35,36,10,0,0,0,0,0
Used Mobile Phone,Kindergarten,Ashanti,2041,2,26,92,118,160,172,139,102,74,65,17,0,0,0,0,0
Used Mobile Phone,Kindergarten,Western North,274,0,5,13,15,20,22,20,5,9,7,2,0,0,0,0,0
Used Mobile Phone,Kindergarten,Ahafo,289,1,6,7,15,13,14,15,9,8,9,1,0,0,0,0,0
Used Mobile Phone,Kindergarten,Bono,528,4,8,26,4,16,24,21,11,16,5,0,0,0,0,0,0
Used Mobile Phone,Kindergarten,Bono East,434,3,25,42,41,36,33,32,21,7,6,0,0,0,0,0,0
