Year,Variables,January,February,March,April,May,June,July,August,September,October,November,December
2023,Total Liquidity (M2+),196993.67,201602.75,206824.35,207528.19,0,0,0,0,0,0,0,0
2017,Narrow Money (M1),91213.65,92444.84,94959.7,97523.05,0,0,0,0,0,0,0,0
2017,Broad Money (M2),139966.12,143732.5,148131,150496.16,0,0,0,0,0,0,0,0
2017,Reserve Money (RM),62752.24,66660.76,57840.77,69161.5,0,0,0,0,0,0,0,0
2017,Total Banking System Liabilities,196993.67,201602.75,206824.35,207528.19,0,0,0,0,0,0,0,0
2017,Foreign Currency Deposits,57027.55,58379.75,58855.41,57032.04,0,0,0,0,0,0,0,0
2017,Demand Deposits,60202.67,61439.02,63765.13,66184.51,0,0,0,0,0,0,0,0
2017,Savings and Time Deposits,48752.47,51287.66,53171.31,52973.1,0,0,0,0,0,0,0,0
2017,Currency Outside Banks,31010.97,31005.82,31194.57,31338.54,0,0,0,0,0,0,0,0
2017,Total Banking System Assets,196993.67,201602.75,206824.35,207528.19,0,0,0,0,0,0,0,0
2017,Other Domestic Assets (Net),-7604.16,-10035.84,-1608.81,-2615.99,0,0,0,0,0,0,0,0
2017,Government Deposits,-10943.6,-13327.31,-11560.83,25570.52,0,0,0,0,0,0,0,0
2017,Claims on Private and Public Enterprises,81246.78,76412.93,76208.82,74857.62,0,0,0,0,0,0,0,0
2017,Claims on Government,124463.84,132736.92,132669.66,171248.96,0,0,0,0,0,0,0,0
2017,Net Foreign Assets - Bank of Ghana,-21311.29,-21494.37,-23944.4,-22970.76,0,0,0,0,0,0,0,0
2017,Net Foreign Assets - Deposit Money Banks,9254.91,10655.8,11938.25,12578.9,0,0,0,0,0,0,0,0
2017,Total Net Domestic Assets,209050.05,212441.31,218830.5,217920.06,0,0,0,0,0,0,0,0
2017,Total Net Foreign Assets,-12056.39,-10838.57,-12006.15,-10391.87,0,0,0,0,0,0,0,0
2017,Broad Money (M2),108231.31,107281.63,106050.89,105204.84,105600.77,106488.56,109303.85,110233.88,110613.58,121790.71,0,0
2018,Total Liquidity (M2+),137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,0,0
2018,Reserve Money (RM),44963.72,43197.72,44866.58,47215.05,46616.21,48237.98,49549.65,49977.35,53503.9,64737.95,0,0
2018,Narrow Money (M1),72196.33,70941.29,68918.69,67673.78,68062.9,66917.35,68983.29,69058.34,69671.98,79774.66,0,0
2018,Foreign Currency Deposits,29242.98,32162.74,36678.24,37358.83,37041.98,38668.37,41111.65,42221.95,49544.01,65868.49,0,0
2018,Total Banking System Liabilities,137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,0,0
2018,Savings and Time Deposits,36034.97,36340.35,37132.19,37531.06,37537.88,39571.21,40320.55,41175.54,40941.6,42016.05,0,0
2018,Currency Outside Banks,21864.93,21658.07,22090.81,22959.47,22612.35,22102.32,22355.72,23075.4,23786.09,25674.07,0,0
2018,Demand Deposits,50331.4,49283.21,46827.89,44714.31,45450.55,44815.03,46627.57,45982.95,45885.89,54100.59,0,0
2018,Other Domestic Assets (Net),-15100.79,-14910.82,-16044.79,-16866.85,-16237.04,-15265.53,-14030.18,-19035.94,-10283.04,-2194.84,0,0
2018,Total Banking System Assets,137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,0,0
2018,Claims on Private and Public Enterprises,62869.17,64329.02,67382.69,69489.48,70614.34,71452.21,71998.23,73974.45,78157,88213.05,0,0
2018,Government Deposits,17897.85,18735.6,20194.32,16426.49,10720.71,9179.97,6138.75,1710.64,8119.5,4252.43,0,0
2018,Claims on Government,101110.2,103853.45,107982.02,107518.38,105573.43,105621.16,107563.51,113215.36,117068.42,125421.67,0,0
2018,Total Banking System Assets,137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,194979.44,180266.84
2018,Other Domestic Assets (Net),-15100.79,-14910.82,-16044.79,-16866.85,-16237.04,-15265.53,-14030.18,-19035.94,-10283.04,-2194.84,-3293.72,-7058.82
2018,Claims on Private and Public Enterprises,62869.17,64329.02,67382.69,69489.48,70614.34,71452.21,71998.23,73974.45,78157,88213.05,89004.04,76905.03
2018,Government Deposits,17897.85,18735.6,20194.32,16426.49,10720.71,9179.97,6138.75,1710.64,8119.5,4252.43,-7420.22,-3660.25
2018,Claims on Government,101110.2,103853.45,107982.02,107518.38,105573.43,105621.16,107563.51,113215.36,117068.42,125421.67,126295.74,118894.09
2019,Total Liquidity (M2+),137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,194979.44,180266.84
2019,Broad Money (M2),108231.31,107281.63,106050.89,105204.84,105600.77,106488.56,109303.85,110233.88,110613.58,121790.71,128482.81,135142.49
2019,Narrow Money (M1),72196.33,70941.29,68918.69,67673.78,68062.9,66917.35,68983.29,69058.34,69671.98,79774.66,82207.57,88484.18
2019,Reserve Money (RM),44963.72,43197.72,44866.58,47215.05,46616.21,48237.98,49549.65,49977.35,53503.9,64737.95,65615,68103.84
2019,Total Banking System Liabilities,137474.29,139444.38,142729.13,142563.67,142642.75,145156.93,150415.5,152455.83,160157.59,187659.2,194979.44,180266.84
2019,Foreign Currency Deposits,29242.98,32162.74,36678.24,37358.83,37041.98,38668.37,41111.65,42221.95,49544.01,65868.49,66496.63,45124.35
2019,Savings and Time Deposits,36034.97,36340.35,37132.19,37531.06,37537.88,39571.21,40320.55,41175.54,40941.6,42016.05,46275.25,46658.31
2019,Demand Deposits,50331.4,49283.21,46827.89,44714.31,45450.55,44815.03,46627.57,45982.95,45885.89,54100.59,52732.92,57063.53
2019,Currency Outside Banks,21864.93,21658.07,22090.81,22959.47,22612.35,22102.32,22355.72,23075.4,23786.09,25674.07,29474.64,31420.65
2019,Total Net Domestic Assets,130980.74,134536.04,139125.61,143714.52,149230.02,152627.87,159392.8,166443.23,176822.88,207187.45,219426.28,192400.54
2019,Net Foreign Assets - Bank of Ghana,9315.06,9154.33,4485.86,1453.09,-3813.34,-6401.93,-8995.2,-14375.54,-16871.08,-21098.91,-31490.12,-19300.17
2019,Net Foreign Assets - Deposit Money Banks,-2821.51,-4246,-882.33,-2603.94,-2773.93,-1069.01,17.89,388.14,205.79,1570.66,7043.28,7166.46
2019,Total Net Foreign Assets,6493.55,4908.33,3603.52,-1150.85,-6587.27,-7470.94,-8977.3,-13987.4,-16665.29,-19528.25,-24446.84,-12133.7
2019,Net Foreign Assets - Deposit Money Banks,-2821.51,-4246,-882.33,-2603.94,-2773.93,-1069.01,17.89,388.14,205.79,1570.66,0,0
2019,Total Net Domestic Assets,130980.74,134536.04,139125.61,143714.52,149230.02,152627.87,159392.8,166443.23,176822.88,207187.45,0,0
2019,Net Foreign Assets - Bank of Ghana,9315.06,9154.33,4485.86,1453.09,-3813.34,-6401.93,-8995.2,-14375.54,-16871.08,-21098.91,0,0
2019,Total Net Foreign Assets,6493.55,4908.33,3603.52,-1150.85,-6587.27,-7470.94,-8977.3,-13987.4,-16665.29,-19528.25,0,0
2019,Total Liquidity (M2+),117976.85,118467.48,119445.22,118933.79,120451.55,121891.32,122643.76,123548.57,124596.6,129231.01,131645.92,135555.75
2020,Broad Money (M2),92625.97,92071.18,93226.01,91942.98,93396.17,94210.69,94837.79,96081.78,96838.7,101128.67,102961.93,105737.27
2020,Narrow Money (M1),59346.37,57987.1,59148.13,57786.74,59218.95,59921.11,59325.64,60948.49,61153.92,63458.95,65974.99,69389.31
2020,Total Banking System Liabilities,117976.85,118467.48,119445.22,118933.79,120451.55,121891.32,122643.76,123548.57,124596.6,129231.01,131645.92,135555.75
2020,Reserve Money (RM),36117.25,35439.73,34904.63,35293.96,36597.91,36063.64,39878.74,37557.02,39156.13,39785.36,40353.04,43244.9
2020,Savings and Time Deposits,33279.6,34084.08,34077.88,34156.24,34177.22,34289.58,35512.15,35133.28,35684.78,37669.72,36986.94,36347.96
2020,Foreign Currency Deposits,25350.87,26396.31,26219.21,26990.81,27055.37,27680.63,27805.97,27466.8,27757.9,28102.33,28684,29818.48
2020,Demand Deposits,39440.16,38540.09,39823.39,38038.38,40106.48,41364.14,40746.4,42285.43,42341.55,43921.14,46467.01,47615.41
2020,Currency Outside Banks,19906.22,19447,19324.74,19748.36,19112.47,18556.97,18579.25,18663.06,18812.37,19537.81,19507.98,21773.9
